timestamp,client_ip,query_name,query_type
2026-09-10T10:00:09Z,10.0.1.109,sub94.fonts.googleapis.com,A
2026-09-10T10:00:14Z,10.0.1.109,sub20.fonts.googleapis.com,A
2026-09-10T10:00:21Z,10.0.1.109,sub58.slack.com,A
2026-09-10T10:00:30Z,10.0.1.109,sub17.fonts.googleapis.com,A
2026-09-10T10:00:33Z,10.0.1.109,sub49.fonts.googleapis.com,A
2026-09-10T10:00:36Z,10.0.1.109,sub88.update.microsoft.com,A
2026-09-10T10:00:37Z,10.0.1.109,sub75.slack.com,A
2026-09-10T10:00:47Z,10.0.1.109,sub65.fonts.googleapis.com,A
2026-09-10T10:00:50Z,10.0.1.109,sub85.slack.com,A
2026-09-10T10:00:51Z,10.0.1.109,sub42.slack.com,A
2026-09-10T10:00:54Z,10.0.1.109,sub91.api.github.com,A
2026-09-10T10:01:00Z,10.0.1.109,sub10.google.com,A
2026-09-10T10:01:19Z,10.0.1.109,sub31.update.microsoft.com,A
2026-09-10T10:01:21Z,10.0.1.109,sub83.fonts.googleapis.com,A
2026-09-10T10:01:21Z,10.0.1.109,sub65.google.com,A
2026-09-10T10:01:32Z,10.0.1.109,sub52.api.github.com,A
2026-09-10T10:01:34Z,10.0.1.109,sub9.google.com,A
2026-09-10T10:01:34Z,10.0.1.109,sub45.update.microsoft.com,A
2026-09-10T10:01:36Z,10.0.1.109,sub20.slack.com,A
2026-09-10T10:01:37Z,10.0.1.109,sub8.fonts.googleapis.com,A
2026-09-10T10:01:50Z,10.0.1.109,sub53.slack.com,A
2026-09-10T10:01:53Z,10.0.1.109,sub31.update.microsoft.com,A
2026-09-10T10:02:02Z,10.0.1.109,sub60.fonts.googleapis.com,A
2026-09-10T10:02:09Z,10.0.1.109,sub13.google.com,A
2026-09-10T10:02:09Z,10.0.1.109,sub74.slack.com,A
2026-09-10T10:02:17Z,10.0.1.109,sub12.slack.com,A
2026-09-10T10:02:34Z,10.0.1.109,sub96.google.com,A
2026-09-10T10:02:35Z,10.0.1.109,sub15.google.com,A
2026-09-10T10:02:37Z,10.0.1.109,sub99.api.github.com,A
2026-09-10T10:02:46Z,10.0.1.109,sub75.fonts.googleapis.com,A
2026-09-10T10:02:46Z,10.0.1.109,sub45.update.microsoft.com,A
2026-09-10T10:02:47Z,10.0.1.109,sub40.google.com,A
2026-09-10T10:02:53Z,10.0.1.109,sub75.google.com,A
2026-09-10T10:02:54Z,10.0.1.109,sub65.google.com,A
2026-09-10T10:02:54Z,10.0.1.109,sub34.slack.com,A
2026-09-10T10:02:56Z,10.0.1.109,sub92.google.com,A
2026-09-10T10:03:05Z,10.0.1.109,sub33.update.microsoft.com,A
2026-09-10T10:03:20Z,10.0.1.109,sub84.update.microsoft.com,A
2026-09-10T10:03:30Z,10.0.1.109,sub40.update.microsoft.com,A
2026-09-10T10:03:34Z,10.0.1.109,sub50.fonts.googleapis.com,A
2026-09-10T10:03:53Z,10.0.1.109,sub18.fonts.googleapis.com,A
2026-09-10T10:03:55Z,10.0.1.109,sub67.fonts.googleapis.com,A
2026-09-10T10:03:58Z,10.0.1.109,sub71.google.com,A
2026-09-10T10:03:59Z,10.0.1.109,sub20.google.com,A
2026-09-10T10:04:06Z,10.0.1.109,sub61.update.microsoft.com,A
2026-09-10T10:04:07Z,10.0.1.109,sub34.google.com,A
2026-09-10T10:04:08Z,10.0.1.109,sub59.fonts.googleapis.com,A
2026-09-10T10:04:12Z,10.0.1.109,sub17.google.com,A
2026-09-10T10:04:13Z,10.0.1.109,sub45.update.microsoft.com,A
2026-09-10T10:04:38Z,10.0.1.109,sub74.slack.com,A
2026-09-10T10:04:57Z,10.0.1.109,sub13.google.com,A
2026-09-10T10:05:01Z,10.0.1.109,sub16.api.github.com,A
2026-09-10T10:05:05Z,10.0.1.109,sub59.fonts.googleapis.com,A
2026-09-10T10:05:23Z,10.0.1.109,sub4.google.com,A
2026-09-10T10:05:23Z,10.0.1.109,sub71.update.microsoft.com,A
2026-09-10T10:05:27Z,10.0.1.109,sub28.api.github.com,A
2026-09-10T10:06:03Z,10.0.1.109,sub87.google.com,A
